날짜,시도지역코드,발생건수(건)
20140226,경남,3160
20140226,제주,459
20140226,전국,47079
20140227,서울,8751
20140227,부산,3282
20140227,대구,2685
20140227,인천,2778
20140227,광주,1461
20140227,대전,1577
20140227,울산,1028
20140227,경기,10560
20140227,강원,1452
20140227,충북,1460
20140227,충남,2083
20140227,전북,1782
20140227,전남,2281
20140227,경북,2776
20140227,경남,3585
20140227,제주,528
20140227,전국,48084
20140228,서울,10161
20140228,부산,3530
20140228,대구,2875
20140228,인천,3056
20140228,광주,1556
20140228,대전,1773
20140228,울산,997
20140228,경기,11954
20140228,강원,1747
20140228,충북,1720
20140228,충남,2372
20140228,전북,1826
20140228,전남,2350
20140228,경북,3053
20140228,경남,3752
20140228,제주,542
20140228,전국,53279
20140301,서울,884
20140301,부산,703
20140301,대구,811
20140301,인천,427
20140301,광주,189
20140301,대전,357
20140301,울산,258
20140301,경기,1655
20140301,강원,286
20140301,충북,383
20140301,충남,594
20140301,전북,370
20140301,전남,666
20140301,경북,675
20140301,경남,738
20140301,제주,151
20140301,전국,9151
20140302,서울,375
20140302,부산,186
20140302,대구,53
20140302,인천,195
20140302,광주,38
20140302,대전,142
20140302,울산,69
20140302,경기,833
20140302,강원,44
20140302,충북,111
20140302,충남,172
20140302,전북,79
20140302,전남,108
20140302,경북,99
20140302,경남,155
20140302,제주,22
20140302,전국,2683
20140303,서울,13377
20140303,부산,4594
20140303,대구,3624
20140303,인천,3912
20140303,광주,2009
20140303,대전,2304
20140303,울산,1415
20140303,경기,15538
20140303,강원,2309
20140303,충북,2270
20140303,충남,3154
20140303,전북,2405
20140303,전남,3103
20140303,경북,3755
20140303,경남,4766
20140303,제주,638
20140303,전국,69204
20140304,서울,9793
20140304,부산,3453
20140304,대구,2738
20140304,인천,2949
20140304,광주,1367
20140304,대전,1636
20140304,울산,1012
20140304,경기,11387
20140304,강원,1705
20140304,충북,1596
20140304,충남,2179
20140304,전북,1724
20140304,전남,2214
20140304,경북,2623
20140304,경남,3423
20140304,제주,483
20140304,전국,50297
20140305,서울,8685
20140305,부산,3231
20140305,대구,2481
20140305,인천,2592
20140305,광주,1322
20140305,대전,1475
20140305,울산,946
20140305,경기,10499
20140305,강원,1369
20140305,충북,1465
20140305,충남,2066
20140305,전북,1620
20140305,전남,2198
20140305,경북,2611
20140305,경남,3422
20140305,제주,509
20140305,전국,46500
20140306,서울,8612
20140306,부산,3256
20140306,대구,2399
20140306,인천,2755
20140306,광주,1350
20140306,대전,1553
20140306,울산,943
20140306,경기,10435
20140306,강원,1411
20140306,충북,1416
20140306,충남,2048
20140306,전북,1685
20140306,전남,2082
20140306,경북,2581
20140306,경남,3250
20140306,제주,505
20140306,전국,46293
20140307,서울,10164
20140307,부산,3479
20140307,대구,2879
20140307,인천,2899
20140307,광주,1465
20140307,대전,1698
20140307,울산,1071
20140307,경기,11884
20140307,강원,1829
20140307,충북,1659
20140307,충남,2317
20140307,전북,1839
20140307,전남,2276
20140307,경북,3004
20140307,경남,3789
20140307,제주,542
20140307,전국,52808
20140308,서울,9694
20140308,부산,3416
20140308,대구,2903
20140308,인천,3122
20140308,광주,1674
20140308,대전,1837
20140308,울산,1077
20140308,경기,12164
20140308,강원,1589
20140308,충북,1749
20140308,충남,2268
20140308,전북,1725
20140308,전남,2186
20140308,경북,2830
20140308,경남,3747
20140308,제주,507
20140308,전국,52512
20140309,서울,442
20140309,부산,154
20140309,대구,70
20140309,인천,169
20140309,광주,66
20140309,대전,123
20140309,울산,86
20140309,경기,876
20140309,강원,55
20140309,충북,99
20140309,충남,191
20140309,전북,91
20140309,전남,127
20140309,경북,125
20140309,경남,144
20140309,제주,49
20140309,전국,2868
20140310,서울,10072
20140310,부산,2322
20140310,대구,2421
20140310,인천,2621
20140310,광주,1767
20140310,대전,1447
20140310,울산,992
20140310,경기,11239
20140310,강원,1253
20140310,충북,1440
20140310,충남,1667
20140310,전북,1933
20140310,전남,2003
20140310,경북,2604
20140310,경남,2782
20140310,제주,358
20140310,전국,46934
20140311,서울,11212
20140311,부산,4701
20140311,대구,3516
20140311,인천,3498
20140311,광주,1694
20140311,대전,1991
20140311,울산,1311
20140311,경기,13781
20140311,강원,2114
20140311,충북,2026
20140311,충남,2779
20140311,전북,2075
20140311,전남,2828
20140311,경북,3370
20140311,경남,4707
20140311,제주,709
20140311,전국,62333
20140312,서울,9055
20140312,부산,3449
20140312,대구,2634
20140312,인천,2795
20140312,광주,1358
20140312,대전,1424
20140312,울산,1074
20140312,경기,10638
20140312,강원,1541
20140312,충북,1477
20140312,충남,2061
20140312,전북,1606
20140312,전남,2166
20140312,경북,2883
20140312,경남,3659
20140312,제주,602
20140312,전국,48439
20140313,서울,8633
20140313,부산,3197
20140313,대구,2322
20140313,인천,2598
20140313,광주,1340
20140313,대전,1432
20140313,울산,915
20140313,경기,10585
20140313,강원,1362
20140313,충북,1445
20140313,충남,2119
20140313,전북,1651
20140313,전남,2101
20140313,경북,2574
20140313,경남,3279
20140313,제주,529
20140313,전국,46098
20140314,서울,9933
20140314,부산,3744
20140314,대구,2799
20140314,인천,3028
20140314,광주,1363
20140314,대전,1755
20140314,울산,1104
20140314,경기,11493
20140314,강원,1742
20140314,충북,1629
20140314,충남,2314
20140314,전북,1882
20140314,전남,2405
20140314,경북,2986
20140314,경남,3811
20140314,제주,536
20140314,전국,52537
20140315,서울,8670
20140315,부산,3044
20140315,대구,2691
20140315,인천,2956
20140315,광주,1406
20140315,대전,1573
20140315,울산,955
20140315,경기,11112
20140315,강원,1409
20140315,충북,1496
20140315,충남,2024
20140315,전북,1558
20140315,전남,2041
20140315,경북,2499
20140315,경남,3413
20140315,제주,471
20140315,전국,47336
20140316,서울,379
20140316,부산,209
20140316,대구,62
20140316,인천,200
20140316,광주,47
20140316,대전,111
20140316,울산,73
20140316,경기,978
20140316,강원,67
20140316,충북,113
20140316,충남,179
20140316,전북,78
20140316,전남,109
20140316,경북,128
20140316,경남,153
20140316,제주,46
20140316,전국,2932
20140317,서울,12615
20140317,부산,4823
20140317,대구,3701
20140317,인천,3682
20140317,광주,1885
20140317,대전,2219
20140317,울산,1525
20140317,경기,14929
