날짜,시도지역코드,발생건수(건)
20140123,전남,2175
20140123,경북,2489
20140123,경남,2820
20140123,제주,536
20140123,전국,42385
20140124,서울,8003
20140124,부산,2925
20140124,대구,2239
20140124,인천,2878
20140124,광주,1692
20140124,대전,1197
20140124,울산,1144
20140124,경기,10543
20140124,강원,1304
20140124,충북,1569
20140124,충남,2031
20140124,전북,2104
20140124,전남,2328
20140124,경북,2558
20140124,경남,3093
20140124,제주,635
20140124,전국,46257
20140125,서울,7268
20140125,부산,2227
20140125,대구,2065
20140125,인천,2563
20140125,광주,1622
20140125,대전,1077
20140125,울산,968
20140125,경기,9324
20140125,강원,957
20140125,충북,1348
20140125,충남,1627
20140125,전북,1678
20140125,전남,1953
20140125,경북,2155
20140125,경남,2492
20140125,제주,430
20140125,전국,39765
20140126,서울,728
20140126,부산,192
20140126,대구,310
20140126,인천,382
20140126,광주,296
20140126,대전,149
20140126,울산,146
20140126,경기,1575
20140126,강원,98
20140126,충북,177
20140126,충남,220
20140126,전북,252
20140126,전남,356
20140126,경북,327
20140126,경남,189
20140126,제주,58
20140126,전국,5458
20140127,서울,11707
20140127,부산,4067
20140127,대구,3256
20140127,인천,4327
20140127,광주,2400
20140127,대전,1699
20140127,울산,1602
20140127,경기,15084
20140127,강원,1804
20140127,충북,2210
20140127,충남,2808
20140127,전북,2987
20140127,전남,3216
20140127,경북,3717
20140127,경남,4449
20140127,제주,818
20140127,전국,66179
20140128,서울,9031
20140128,부산,3269
20140128,대구,2726
20140128,인천,3358
20140128,광주,2052
20140128,대전,1302
20140128,울산,1262
20140128,경기,11979
20140128,강원,1433
20140128,충북,1872
20140128,충남,2297
20140128,전북,2376
20140128,전남,2725
20140128,경북,2967
20140128,경남,3434
20140128,제주,704
20140128,전국,52812
20140129,서울,12765
20140129,부산,4155
20140129,대구,3446
20140129,인천,4468
20140129,광주,2335
20140129,대전,1792
20140129,울산,1684
20140129,경기,16195
20140129,강원,1685
20140129,충북,2126
20140129,충남,2849
20140129,전북,2725
20140129,전남,2998
20140129,경북,3589
20140129,경남,4438
20140129,제주,664
20140129,전국,67939
20140130,서울,1429
20140130,부산,607
20140130,대구,862
20140130,인천,580
20140130,광주,553
20140130,대전,357
20140130,울산,192
20140130,경기,2107
20140130,강원,262
20140130,충북,508
20140130,충남,606
20140130,전북,630
20140130,전남,774
20140130,경북,853
20140130,경남,707
20140130,제주,170
20140130,전국,11201
20140131,서울,365
20140131,부산,54
20140131,대구,44
20140131,인천,91
20140131,광주,84
20140131,대전,85
20140131,울산,49
20140131,경기,558
20140131,강원,76
20140131,충북,105
20140131,충남,84
20140131,전북,88
20140131,전남,149
20140131,경북,85
20140131,경남,107
20140131,제주,34
20140131,전국,2058
20140201,서울,1551
20140201,부산,559
20140201,대구,527
20140201,인천,497
20140201,광주,423
20140201,대전,249
20140201,울산,209
20140201,경기,2148
20140201,강원,229
20140201,충북,421
20140201,충남,520
20140201,전북,614
20140201,전남,826
20140201,경북,585
20140201,경남,661
20140201,제주,103
20140201,전국,10126
20140202,서울,1161
20140202,부산,231
20140202,대구,349
20140202,인천,534
20140202,광주,244
20140202,대전,155
20140202,울산,158
20140202,경기,2146
20140202,강원,152
20140202,충북,223
20140202,충남,320
20140202,전북,315
20140202,전남,471
20140202,경북,337
20140202,경남,229
20140202,제주,76
20140202,전국,7103
20140203,서울,14218
20140203,부산,4440
20140203,대구,3754
20140203,인천,5163
20140203,광주,2600
20140203,대전,2030
20140203,울산,1876
20140203,경기,17987
20140203,강원,2195
20140203,충북,2621
20140203,충남,3533
20140203,전북,3280
