날짜,시군구지역코드,발생건수(건)
20160814,36110,111
20160815,36110,83
20160816,36110,72
20160817,36110,229
20160818,36110,145
20160819,36110,159
20160820,36110,182
20160821,36110,157
20160822,36110,166
20160823,36110,77
20160824,36110,218
20160825,36110,153
20160826,36110,166
20160827,36110,170
20160828,36110,169
20160829,36110,176
20160830,36110,83
20160831,36110,238
20160901,36110,202
20160902,36110,181
20160903,36110,197
20160904,36110,191
20160905,36110,181
20160906,36110,97
20160907,36110,274
20160908,36110,169
20160909,36110,193
20160910,36110,228
20160911,36110,199
20160912,36110,192
20160913,36110,91
20160914,36110,320
20160915,36110,215
20160916,36110,228
20160917,36110,217
20160918,36110,230
20160919,36110,202
20160920,36110,109
20160921,36110,315
20160922,36110,232
20160923,36110,212
20160924,36110,275
20160925,36110,332
20160926,36110,122
20160927,36110,17
20160928,36110,110
20160929,36110,210
20160930,36110,323
20161001,36110,182
20161002,36110,263
20161003,36110,129
20161004,36110,95
20161005,36110,290
20161006,36110,198
20161007,36110,184
20161008,36110,231
20161009,36110,116
20161010,36110,218
20161011,36110,107
20161012,36110,303
20161013,36110,201
20161014,36110,198
20161015,36110,230
20161016,36110,199
20161017,36110,217
20161018,36110,98
20161019,36110,314
20161020,36110,223
20161021,36110,227
20161022,36110,215
20161023,36110,258
20161024,36110,250
20161025,36110,128
20161026,36110,350
20161027,36110,232
20161028,36110,225
20161029,36110,247
20161030,36110,265
20161031,36110,236
20161101,36110,117
20161102,36110,355
20161103,36110,217
20161104,36110,236
20161105,36110,266
20161106,36110,230
20161107,36110,230
20161108,36110,109
20161109,36110,347
20161110,36110,253
20161111,36110,218
20161112,36110,232
20161113,36110,211
20161114,36110,221
20161115,36110,118
20161116,36110,299
20161117,36110,237
20161118,36110,204
20161119,36110,237
20161120,36110,254
20161121,36110,194
20161122,36110,113
20161123,36110,353
20161124,36110,220
20161125,36110,232
20161126,36110,246
20161127,36110,315
20161128,36110,254
20161129,36110,118
20161130,36110,419
20161201,36110,302
20161202,36110,280
20161203,36110,302
20161204,36110,293
20161205,36110,306
20161206,36110,156
20161207,36110,443
20161208,36110,297
20161209,36110,306
20161210,36110,293
20161211,36110,336
20161212,36110,289
20161213,36110,140
20161214,36110,432
20161215,36110,320
20161216,36110,282
20161217,36110,307
20161218,36110,303
20161219,36110,260
20161220,36110,148
20161221,36110,434
20161222,36110,315
20161223,36110,278
20161224,36110,331
20161225,36110,119
20161226,36110,289
20161227,36110,152
20161228,36110,418
20161229,36110,300
20161230,36110,279
20161231,36110,381
