날짜,지점,발생건수(건)
20170225,강원,541
20170226,강원,73
20170227,강원,1331
20170228,강원,968
20170301,강원,181
20170302,강원,1057
20170303,강원,965
20170304,강원,562
20170305,강원,65
20170306,강원,1133
20170307,강원,883
20170308,강원,800
20170309,강원,847
20170310,강원,854
20170311,강원,604
20170312,강원,65
20170313,강원,1338
20170314,강원,879
20170315,강원,917
20170316,강원,930
20170317,강원,996
20170318,강원,698
20170319,강원,105
20170320,강원,1472
20170321,강원,1077
20170322,강원,950
20170323,강원,973
20170324,강원,980
20170325,강원,674
20170326,강원,88
20170327,강원,1388
20170328,강원,1051
20170329,강원,934
20170330,강원,946
20170331,강원,1122
20170401,강원,796
20170402,강원,101
20170403,강원,1382
20170404,강원,1006
20170405,강원,989
20170406,강원,1060
20170407,강원,1083
20170408,강원,709
20170409,강원,80
20170410,강원,1481
20170411,강원,1042
20170412,강원,986
20170413,강원,1074
20170414,강원,1088
20170415,강원,690
20170416,강원,65
20170417,강원,1319
20170418,강원,986
20170419,강원,979
20170420,강원,915
20170421,강원,1022
20170422,강원,662
20170423,강원,106
20170424,강원,1465
20170425,강원,1103
20170426,강원,994
20170427,강원,1027
20170428,강원,1124
20170429,강원,696
20170430,강원,77
20170501,강원,1128
20170502,강원,1245
20170503,강원,152
20170504,강원,1341
20170505,강원,135
20170506,강원,732
20170507,강원,94
20170508,강원,1492
20170509,강원,562
20170510,강원,1132
20170511,강원,956
20170512,강원,935
20170513,강원,623
20170514,강원,94
20170515,강원,1244
20170516,강원,903
20170517,강원,837
20170518,강원,796
20170519,강원,902
20170520,강원,564
20170521,강원,95
20170522,강원,1212
20170523,강원,848
20170524,강원,834
20170525,강원,807
20170526,강원,849
20170527,강원,514
20170528,강원,75
20170529,강원,1064
20170530,강원,800
20170531,강원,793
20170601,강원,833
20170602,강원,898
20170603,강원,525
20170604,강원,71
20170605,강원,1119
20170606,강원,131
20170607,강원,1083
20170608,강원,853
20170609,강원,810
20170610,강원,539
20170611,강원,77
20170612,강원,1087
20170613,강원,814
20170614,강원,739
20170615,강원,789
20170616,강원,710
20170617,강원,484
20170618,강원,59
20170619,강원,959
20170620,강원,695
20170621,강원,720
20170622,강원,661
20170623,강원,730
20170624,강원,441
20170625,강원,52
20170626,강원,946
20170627,강원,655
20170628,강원,604
20170629,강원,623
20170630,강원,652
20170701,강원,423
20170702,강원,57
20170703,강원,847
20170704,강원,622
20170705,강원,615
20170706,강원,596
20170707,강원,656
20170708,강원,369
20170709,강원,37
20170710,강원,790
20170711,강원,635
20170712,강원,555
20170713,강원,583
20170714,강원,671
20170715,강원,374
20170716,강원,44
20170717,강원,802
20170718,강원,620
20170719,강원,597
20170720,강원,595
20170721,강원,641
20170722,강원,333
20170723,강원,47
20170724,강원,789
20170725,강원,587
20170726,강원,590
20170727,강원,595
20170728,강원,657
20170729,강원,345
20170730,강원,44
20170731,강원,723
20170801,강원,664
20170802,강원,592
20170803,강원,522
20170804,강원,538
20170805,강원,270
20170806,강원,41
20170807,강원,723
20170808,강원,549
20170809,강원,584
20170810,강원,575
20170811,강원,600
20170812,강원,274
20170813,강원,19
20170814,강원,712
20170815,강원,60
20170816,강원,684
20170817,강원,620
20170818,강원,618
20170819,강원,317
20170820,강원,40
20170821,강원,820
20170822,강원,602
20170823,강원,570
20170824,강원,579
20170825,강원,662
20170826,강원,387
20170827,강원,40
20170828,강원,968
20170829,강원,708
20170830,강원,661
20170831,강원,726
20170901,강원,778
20170902,강원,448
20170903,강원,56
20170904,강원,942
20170905,강원,667
20170906,강원,658
20170907,강원,704
20170908,강원,667
20170909,강원,445
20170910,강원,63
20170911,강원,921
20170912,강원,698
20170913,강원,661
20170914,강원,654
20170915,강원,729
20170916,강원,522
20170917,강원,76
20170918,강원,957
20170919,강원,778
20170920,강원,774
20170921,강원,721
20170922,강원,796
20170923,강원,450
20170924,강원,80
20170925,강원,1040
20170926,강원,871
20170927,강원,830
20170928,강원,845
20170929,강원,1002
20170930,강원,615
20171001,강원,140
20171002,강원,758
20171003,강원,116
20171004,강원,35
20171005,강원,106
20171006,강원,204
20171007,강원,376
20171008,강원,71
20171009,강원,203
20171010,강원,1093
20171011,강원,829
20171012,강원,802
20171013,강원,817
20171014,강원,510
20171015,강원,61
20171016,강원,1023
20171017,강원,728
20171018,강원,766
20171019,강원,737
20171020,강원,741
20171021,강원,475
20171022,강원,84
20171023,강원,1058
20171024,강원,823
20171025,강원,768
20171026,강원,856
20171027,강원,886
20171028,강원,506
20171029,강원,70
20171030,강원,1179
20171031,강원,868
20171101,강원,887
20171102,강원,786
20171103,강원,864
20171104,강원,572
20171105,강원,87
20171106,강원,1148
20171107,강원,916
20171108,강원,830
20171109,강원,795
20171110,강원,860
20171111,강원,624
20171112,강원,97
20171113,강원,1274
20171114,강원,920
20171115,강원,829
20171116,강원,895
20171117,강원,906
20171118,강원,661
20171119,강원,114
20171120,강원,1173
20171121,강원,943
20171122,강원,892
20171123,강원,774
20171124,강원,887
20171125,강원,568
20171126,강원,84
20171127,강원,1172
20171128,강원,944
20171129,강원,823
20171130,강원,845
20171201,강원,939
20171202,강원,604
20171203,강원,102
20171204,강원,1284
20171205,강원,817
20171206,강원,830
20171207,강원,895
20171208,강원,934
20171209,강원,593
20171210,강원,84
20171211,강원,1156
20171212,강원,829
20171213,강원,789
20171214,강원,894
20171215,강원,1014
20171216,강원,668
20171217,강원,92
20171218,강원,1207
20171219,강원,951
20171220,강원,957
20171221,강원,937
20171222,강원,1117
20171223,강원,755
20171224,강원,94
20171225,강원,133
20171226,강원,1582
20171227,강원,1073
20171228,강원,1096
20171229,강원,1230
20171230,강원,798
20171231,강원,94
20180101,강원,245
20180102,강원,1543
20180103,강원,1069
20180104,강원,1016
20180105,강원,1195
20180106,강원,675
20180107,강원,88
20180108,강원,1426
20180109,강원,989
20180110,강원,971
20180111,강원,956
20180112,강원,1009
20180113,강원,629
20180114,강원,79
20180115,강원,1405
20180116,강원,1095
20180117,강원,967
20180118,강원,933
20180119,강원,1074
20180120,강원,540
20180121,강원,79
20180122,강원,1313
20180123,강원,747
20180124,강원,746
20180125,강원,889
20180126,강원,879
20180127,강원,474
20180128,강원,52
20180129,강원,1168
20180130,강원,869
20180131,강원,747
20180201,강원,906
20180202,강원,906
20180203,강원,506
20180204,강원,60
20180205,강원,1078
20180206,강원,838
20180207,강원,751
20180208,강원,781
20180209,강원,885
20180210,강원,517
20180211,강원,55
20180212,강원,1205
20180213,강원,1058
20180214,강원,1047
20180215,강원,103
20180216,강원,43
20180217,강원,99
20180218,강원,59
20180219,강원,1214
20180220,강원,827
20180221,강원,792
20180222,강원,751
20180223,강원,778
20180224,강원,419
20180225,강원,49
20180226,강원,1085
20180227,강원,853
20180228,강원,715
20180301,강원,150
20180302,강원,1054
20180303,강원,447
20180304,강원,60
20180305,강원,979
20180306,강원,785
20180307,강원,722
20180308,강원,619
20180309,강원,735
20180310,강원,451
20180311,강원,62
20180312,강원,1020
20180313,강원,824
20180314,강원,731
20180315,강원,728
20180316,강원,822
20180317,강원,554
20180318,강원,69
20180319,강원,1042
20180320,강원,899
20180321,강원,748
20180322,강원,749
20180323,강원,904
20180324,강원,563
20180325,강원,72
20180326,강원,1094
20180327,강원,853
20180328,강원,854
20180329,강원,734
20180330,강원,850
20180331,강원,604
20180401,강원,127
20180402,강원,1104
20180403,강원,861
20180404,강원,811
20180405,강원,787
20180406,강원,861
20180407,강원,513
20180408,강원,67
20180409,강원,1103
20180410,강원,865
20180411,강원,828
20180412,강원,727
20180413,강원,884
20180414,강원,556
20180415,강원,83
20180416,강원,1154
20180417,강원,877
20180418,강원,852
20180419,강원,810
20180420,강원,945
20180421,강원,591
20180422,강원,90
20180423,강원,1186
20180424,강원,948
20180425,강원,833
20180426,강원,816
20180427,강원,952
20180428,강원,586
20180429,강원,81
20180430,강원,1256
20180501,강원,751
20180502,강원,963
20180503,강원,903
20180504,강원,1045
20180505,강원,165
20180506,강원,106
20180507,강원,316
20180508,강원,1303
20180509,강원,903
20180510,강원,868
20180511,강원,877
20180512,강원,628
20180513,강원,74
20180514,강원,1202
20180515,강원,916
20180516,강원,839
20180517,강원,790
20180518,강원,937
20180519,강원,500
20180520,강원,57
20180521,강원,1015
20180522,강원,109
20180523,강원,1091
20180524,강원,778
20180525,강원,834
20180526,강원,544
20180527,강원,73
20180528,강원,1124
20180529,강원,830
20180530,강원,765
20180531,강원,702
20180601,강원,897
20180602,강원,467
20180603,강원,69
20180604,강원,1062
20180605,강원,918
20180606,강원,95
20180607,강원,911
20180608,강원,829
20180609,강원,429
20180610,강원,58
20180611,강원,1025
20180612,강원,807
20180613,강원,194
20180614,강원,797
20180615,강원,790
20180616,강원,413
20180617,강원,55
20180618,강원,906
20180619,강원,686
20180620,강원,679
20180621,강원,669
20180622,강원,712
20180623,강원,414
20180624,강원,61
20180625,강원,892
20180626,강원,693
20180627,강원,651
20180628,강원,598
20180629,강원,708
20180630,강원,404
20160101,경기,1735
20160102,경기,9083
20160103,경기,1581
20160104,경기,12902
20160105,경기,8534
20160106,경기,8240
20160107,경기,8134
20160108,경기,8599
20160109,경기,6997
20160110,경기,1152
20160111,경기,10931
20160112,경기,7593
20160113,경기,7276
20160114,경기,7331
20160115,경기,8289
20160116,경기,6663
20160117,경기,1324
20160118,경기,10402
20160119,경기,6538
20160120,경기,7440
20160121,경기,7453
20160122,경기,8253
20160123,경기,6726
20160124,경기,1267
20160125,경기,10593
20160126,경기,7419
20160127,경기,7624
20160128,경기,7847
20160129,경기,8657
20160130,경기,7238
20160131,경기,1392
20160201,경기,12108
20160202,경기,8583
20160203,경기,8962
20160204,경기,9404
20160205,경기,12364
20160206,경기,10123
20160207,경기,1200
20160208,경기,524
20160209,경기,1599
20160210,경기,5782
20160211,경기,13303
20160212,경기,9246
20160213,경기,8690
20160214,경기,1250
20160215,경기,12022
20160216,경기,7875
20160217,경기,8123
20160218,경기,8211
20160219,경기,8952
20160220,경기,7012
20160221,경기,1286
20160222,경기,11448
20160223,경기,7940
20160224,경기,7892
20160225,경기,8080
20160226,경기,8824
20160227,경기,6871
20160228,경기,1159
20160229,경기,11550
20160301,경기,2100
20160302,경기,9562
20160303,경기,7392
20160304,경기,7683
20160305,경기,6296
20160306,경기,1223
20160307,경기,9824
20160308,경기,7107
20160309,경기,7187
20160310,경기,7311
20160311,경기,8385
20160312,경기,7354
20160313,경기,1545
20160314,경기,11420
20160315,경기,8115
20160316,경기,8115
20160317,경기,8288
20160318,경기,9197
20160319,경기,7903
20160320,경기,1691
20160321,경기,12460
20160322,경기,8657
20160323,경기,8785
20160324,경기,8805
20160325,경기,9689
20160326,경기,8343
20160327,경기,1554
20160328,경기,12906
20160329,경기,8691
