지점,날짜,O3
강원,20170123,0.029
강원,20170124,0.023
강원,20170125,0.019
강원,20170126,0.033
강원,20170127,0.035
강원,20170128,0.019
강원,20170129,0.009
강원,20170130,0.025
강원,20170131,0.027
강원,20170201,0.032
강원,20170202,0.03
강원,20170203,0.035
강원,20170204,0.026
강원,20170205,0.032
강원,20170206,0.036
강원,20170207,0.026
강원,20170208,0.017
강원,20170209,0.024
강원,20170210,0.03
강원,20170211,0.029
강원,20170212,0.03
강원,20170213,0.03
강원,20170214,0.02
강원,20170215,0.038
강원,20170216,0.056
강원,20170217,0.036
강원,20170218,0.032
강원,20170219,0.04
강원,20170220,0.037
강원,20170221,0.029
강원,20170222,0.012
강원,20170223,0.029
강원,20170224,0.036
강원,20170225,0.035
강원,20170226,0.033
강원,20170227,0.024
강원,20170228,0.033
강원,20170301,0.054
강원,20170302,0.032
강원,20170303,0.035
강원,20170304,0.04
강원,20170305,0.033
강원,20170306,0.039
강원,20170307,0.037
강원,20170308,0.036
강원,20170309,0.039
강원,20170310,0.031
강원,20170311,0.035
강원,20170312,0.046
강원,20170313,0.042
강원,20170314,0.029
강원,20170315,0.031
강원,20170316,0.027
강원,20170317,0.032
강원,20170318,0.05
강원,20170319,0.047
강원,20170320,0.022
강원,20170321,0.035
강원,20170322,0.029
강원,20170323,0.03
강원,20170324,0.027
강원,20170325,0.018
강원,20170326,0.032
강원,20170327,0.035
강원,20170328,0.043
강원,20170329,0.047
강원,20170330,0.049
강원,20170331,0.035
강원,20170401,0.03
강원,20170402,0.041
강원,20170403,0.053
강원,20170404,0.054
강원,20170405,0.048
강원,20170406,0.046
강원,20170407,0.036
강원,20170408,0.035
강원,20170409,0.042
강원,20170410,0.031
강원,20170411,0.024
강원,20170412,0.04
강원,20170413,0.049
강원,20170414,0.058
강원,20170415,0.068
강원,20170416,0.067
강원,20170417,0.051
강원,20170418,0.043
강원,20170419,0.037
강원,20170420,0.041
강원,20170421,0.044
강원,20170422,0.034
강원,20170423,0.06
강원,20170424,0.063
강원,20170425,0.061
강원,20170426,0.04
강원,20170427,0.036
강원,20170428,0.068
강원,20170429,0.056
강원,20170430,0.087
강원,20170501,0.043
강원,20170502,0.026
강원,20170503,0.032
강원,20170504,0.046
강원,20170505,0.057
강원,20170506,0.05
강원,20170507,0.053
강원,20170508,0.068
강원,20170509,0.046
강원,20170510,0.037
강원,20170511,0.065
강원,20170512,0.058
강원,20170513,0.051
강원,20170514,0.05
강원,20170515,0.041
강원,20170516,0.033
강원,20170517,0.032
강원,20170518,0.061
강원,20170519,0.085
강원,20170520,0.075
강원,20170521,0.082
강원,20170522,0.049
강원,20170523,0.031
강원,20170524,0.032
강원,20170525,0.056
강원,20170526,0.038
강원,20170527,0.03
강원,20170528,0.07
강원,20170529,0.083
강원,20170530,0.084
강원,20170531,0.063
강원,20170601,0.06
강원,20170602,0.037
강원,20170603,0.036
강원,20170604,0.04
강원,20170605,0.037
강원,20170606,0.027
강원,20170607,0.03
강원,20170608,0.06
강원,20170609,0.08
강원,20170610,0.042
강원,20170611,0.035
강원,20170612,0.032
강원,20170613,0.029
강원,20170614,0.057
강원,20170615,0.063
강원,20170616,0.031
강원,20170617,0.024
강원,20170618,0.035
강원,20170619,0.04
강원,20170620,0.046
강원,20170621,0.05
강원,20170622,0.048
강원,20170623,0.047
강원,20170624,0.043
강원,20170625,0.042
강원,20170626,0.034
강원,20170627,0.024
강원,20170628,0.033
강원,20170629,0.035
강원,20170630,0.076
강원,20170701,0.06
강원,20170702,0.019
강원,20170703,0.024
강원,20170704,0.032
강원,20170705,0.027
강원,20170706,0.03
강원,20170707,0.033
강원,20170708,0.018
강원,20170709,0.035
강원,20170710,0.009
강원,20170711,0.044
강원,20170712,0.07
강원,20170713,0.06
강원,20170714,0.068
강원,20170715,0.036
강원,20170716,0.033
강원,20170717,0.033
강원,20170718,0.043
강원,20170719,0.045
강원,20170720,0.053
강원,20170721,0.049
강원,20170722,0.03
강원,20170723,0.019
강원,20170724,0.014
강원,20170725,0.02
강원,20170726,0.026
강원,20170727,0.02
강원,20170728,0.02
강원,20170729,0.024
강원,20170730,0.02
강원,20170731,0.028
강원,20170801,0.019
강원,20170802,0.018
강원,20170803,0.017
강원,20170804,0.019
강원,20170805,0.024
강원,20170806,0.022
강원,20170807,0.02
강원,20170808,0.043
강원,20170809,0.034
강원,20170810,0.023
강원,20170811,0.018
강원,20170812,0.012
강원,20170813,0.013
강원,20170814,0.01
강원,20170815,0.014
강원,20170816,0.018
강원,20170817,0.014
강원,20170818,0.014
강원,20170819,0.012
강원,20170820,0.009
강원,20170821,0.008
강원,20170822,0.032
강원,20170823,0.015
강원,20170824,0.014
강원,20170825,0.032
강원,20170826,0.034
강원,20170827,0.032
강원,20170828,0.043
강원,20170829,0.028
강원,20170830,0.028
강원,20170831,0.033
강원,20170901,0.024
강원,20170902,0.022
강원,20170903,0.023
강원,20170904,0.026
강원,20170905,0.017
강원,20170906,0.027
강원,20170907,0.037
강원,20170908,0.038
강원,20170909,0.055
강원,20170910,0.039
강원,20170911,0.032
강원,20170912,0.032
강원,20170913,0.032
강원,20170914,0.03
강원,20170915,0.022
강원,20170916,0.021
강원,20170917,0.024
강원,20170918,0.033
강원,20170919,0.053
강원,20170920,0.037
강원,20170921,0.034
강원,20170922,0.042
강원,20170923,0.045
강원,20170924,0.048
강원,20170925,0.047
강원,20170926,0.03
강원,20170927,0.028
강원,20170928,0.034
강원,20170929,0.038
강원,20170930,0.053
강원,20171001,0.04
강원,20171002,0.027
강원,20171003,0.024
강원,20171004,0.024
강원,20171005,0.018
강원,20171006,0.019
강원,20171007,0.028
강원,20171008,0.01
강원,20171009,0.019
강원,20171010,0.022
강원,20171011,0.026
강원,20171012,0.019
강원,20171013,0.022
강원,20171014,0.029
강원,20171015,0.026
강원,20171016,0.026
강원,20171017,0.028
강원,20171018,0.017
강원,20171019,0.024
강원,20171020,0.021
강원,20171021,0.025
강원,20171022,0.035
강원,20171023,0.034
강원,20171024,0.03
강원,20171025,0.028
강원,20171026,0.027
강원,20171027,0.027
강원,20171028,0.026
강원,20171029,0.034
